0.64	573.90
0.64	678.90
0.64	738.90
0.64	730.80
0.64	1000.20
0.64	980.70
0.64	1000.20
0.64	925.20
0.64	729.90
0.64	1000.20
0.64	465.90
0.64	807.90
0.64	605.70
0.64	907.20
0.64	918.00
0.64	986.40
0.64	835.50
0.64	993.90
0.64	407.40
0.64	555.60
0.64	795.90
0.64	445.50
0.64	738.90
0.64	722.70
0.64	859.20
0.64	655.20
0.64	491.70
0.64	817.20
0.64	813.00
0.64	746.40
0.64	873.90
0.64	778.50
0.64	1000.20
0.64	780.00
0.64	706.50
0.64	840.60
0.64	935.70
0.64	414.90
0.64	527.40
0.64	399.90
0.64	656.10
0.64	1000.20
0.64	690.60
0.64	471.30
0.64	699.60
0.64	619.50
0.64	764.70
0.64	647.40
0.64	1000.20
0.64	1000.20
0.64	908.10
0.64	616.50
0.64	823.80
0.64	962.70
0.64	837.60
0.64	641.40
0.64	673.20
0.64	614.40
0.64	1000.20
0.64	812.70
0.64	811.20
0.64	528.90
0.64	389.70
0.64	1000.20
0.64	455.40
0.64	533.40
0.64	538.80
0.64	1000.20
0.64	1000.20
0.64	639.00
0.64	579.60
0.64	582.00
0.64	645.00
0.64	518.70
0.64	719.10
0.64	780.60
0.64	654.60
0.64	906.90
0.64	530.10
0.64	608.70
0.64	573.90
0.64	922.80
0.64	988.50
0.64	499.20
0.64	407.10
0.64	653.70
0.64	776.70
0.64	459.90
0.64	1000.20
0.64	1000.20
0.64	818.70
0.64	1000.20
0.64	675.60
0.64	1000.20
0.64	750.90
0.64	823.50
0.64	830.70
0.64	506.10
0.64	963.60
0.64	1000.20
0.66	1000.20
0.66	1000.20
0.66	986.40
0.66	363.00
0.66	543.60
0.66	589.50
0.66	1000.20
0.66	1000.20
0.66	513.60
0.66	952.80
0.66	738.90
0.66	885.60
0.66	901.50
0.66	679.20
0.66	846.00
0.66	628.80
0.66	891.90
0.66	699.30
0.66	881.70
0.66	1000.20
0.66	878.10
0.66	753.00
0.66	729.30
0.66	947.10
0.66	854.40
0.66	849.00
0.66	339.60
0.66	715.80
0.66	1000.20
0.66	720.60
0.66	583.50
0.66	516.90
0.66	536.40
0.66	1000.20
0.66	510.00
0.66	982.20
0.66	579.90
0.66	1000.20
0.66	660.30
0.66	697.20
0.66	760.50
0.66	742.20
0.66	612.00
0.66	533.10
0.66	802.20
0.66	1000.20
0.66	791.10
0.66	1000.20
0.66	755.10
0.66	786.90
0.66	770.40
0.66	445.50
0.66	792.30
0.66	405.30
0.66	734.40
