group,pattern,eat,absorbPartsNum,Time-consuming
1,decay,0.05,0,0.0
1,decay,0.05,0,0.3
1,decay,0.05,0,0.6
1,decay,0.05,0,0.8999999999999999
1,decay,0.05,0,1.2
1,decay,0.05,0,1.5
1,decay,0.05,0,1.8
1,decay,0.05,0,2.1
1,decay,0.05,0,2.4
1,decay,0.05,0,2.6999999999999997
1,decay,0.05,0,2.9999999999999996
1,decay,0.05,0,3.2999999999999994
1,decay,0.05,0,3.599999999999999
1,decay,0.05,0,3.899999999999999
1,decay,0.05,0,4.199999999999999
1,decay,0.05,0,4.499999999999999
1,decay,0.05,0,4.799999999999999
1,decay,0.05,0,5.099999999999999
1,decay,0.05,0,5.399999999999999
1,decay,0.05,0,5.699999999999998
1,decay,0.05,0,5.999999999999998
1,decay,0.05,0,6.299999999999998
1,decay,0.05,0,6.599999999999998
1,decay,0.05,0,6.899999999999998
1,decay,0.05,0,7.1999999999999975
1,decay,0.05,0,7.499999999999997
1,decay,0.05,0,7.799999999999997
1,decay,0.05,0,8.099999999999998
1,decay,0.05,0,8.399999999999999
1,decay,0.05,0,8.7
1,decay,0.05,0,9.0
1,decay,0.05,0,9.3
1,decay,0.05,0,9.600000000000001
1,decay,0.05,0,9.900000000000002
1,decay,0.05,0,10.200000000000003
1,decay,0.05,0,10.500000000000004
1,decay,0.05,0,10.800000000000004
1,decay,0.05,0,11.100000000000005
1,decay,0.05,0,11.400000000000006
1,decay,0.05,0,11.700000000000006
1,decay,0.05,0,12.000000000000007
1,decay,0.05,0,12.300000000000008
1,decay,0.05,0,12.600000000000009
1,decay,0.05,0,12.90000000000001
1,decay,0.05,0,13.20000000000001
1,decay,0.05,0,13.50000000000001
1,decay,0.05,0,13.800000000000011
1,decay,0.05,0,14.100000000000012
1,decay,0.05,0,14.400000000000013
1,decay,0.05,0,14.700000000000014
1,decay,0.05,0,15.000000000000014
1,decay,0.05,0,15.300000000000015
1,decay,0.05,0,15.600000000000016
1,decay,0.05,0,15.900000000000016
1,decay,0.05,0,16.200000000000017
1,decay,0.05,0,16.500000000000018
1,decay,0.05,0,16.80000000000002
1,decay,0.05,0,17.10000000000002
1,decay,0.05,0,17.40000000000002
1,decay,0.05,0,17.70000000000002
1,decay,0.05,0,18.00000000000002
1,decay,0.05,0,18.300000000000022
1,decay,0.05,0,18.600000000000023
1,decay,0.05,0,18.900000000000023
1,decay,0.05,0,19.200000000000024
1,decay,0.05,0,19.500000000000025
1,decay,0.05,0,19.800000000000026
1,decay,0.05,0,20.100000000000026
1,decay,0.05,0,20.400000000000027
1,decay,0.05,0,20.700000000000028
1,decay,0.05,0,21.00000000000003
1,decay,0.05,0,21.30000000000003
1,decay,0.05,0,21.60000000000003
1,decay,0.05,0,21.90000000000003
1,decay,0.05,0,22.20000000000003
1,decay,0.05,0,22.500000000000032
1,decay,0.05,0,22.800000000000033
1,decay,0.05,0,23.100000000000033
1,decay,0.05,0,23.400000000000034
1,decay,0.05,0,23.700000000000035
1,decay,0.05,0,24.000000000000036
1,decay,0.05,0,24.300000000000036
1,decay,0.05,0,24.600000000000037
1,decay,0.05,0,24.900000000000038
1,decay,0.05,0,25.20000000000004
1,decay,0.05,0,25.50000000000004
1,decay,0.05,0,25.80000000000004
1,decay,0.05,0,26.10000000000004
1,decay,0.05,0,26.40000000000004
1,decay,0.05,0,26.700000000000042
1,decay,0.05,0,27.000000000000043
1,decay,0.05,0,27.300000000000043
1,decay,0.05,0,27.600000000000044
1,decay,0.05,0,27.900000000000045
1,decay,0.05,0,28.200000000000045
1,decay,0.05,0,28.500000000000046
1,decay,0.05,0,28.800000000000047
1,decay,0.05,0,29.100000000000048
1,decay,0.05,0,29.40000000000005
1,decay,0.05,0,29.70000000000005
1,decay,0.05,0,30.00000000000005
1,decay,0.05,0,30.30000000000005
1,decay,0.05,0,30.60000000000005
1,decay,0.05,0,30.900000000000052
1,decay,0.05,0,31.200000000000053
1,decay,0.05,0,31.500000000000053
1,decay,0.05,0,31.800000000000054
1,decay,0.05,0,32.10000000000005
1,decay,0.05,0,32.40000000000005
1,decay,0.05,0,32.700000000000045
1,decay,0.05,0,33.00000000000004
1,decay,0.05,0,33.30000000000004
1,decay,0.05,0,33.60000000000004
1,decay,0.05,0,33.900000000000034
1,decay,0.05,0,34.20000000000003
1,decay,0.05,0,34.50000000000003
1,decay,0.05,0,34.800000000000026
1,decay,0.05,0,35.10000000000002
1,decay,0.05,0,35.40000000000002
1,decay,0.05,0,35.70000000000002
1,decay,0.05,0,36.000000000000014
1,decay,0.05,0,36.30000000000001
1,decay,0.05,0,36.60000000000001
1,decay,0.05,0,36.900000000000006
1,decay,0.05,0,37.2
1,decay,0.05,0,37.5
1,decay,0.05,0,37.8
1,decay,0.05,0,38.099999999999994
1,decay,0.05,0,38.39999999999999
1,decay,0.05,0,38.69999999999999
1,decay,0.05,0,38.999999999999986
1,decay,0.05,0,39.29999999999998
1,decay,0.05,0,39.59999999999998
1,decay,0.05,0,39.89999999999998
1,decay,0.05,0,40.199999999999974
1,decay,0.05,0,40.49999999999997
1,decay,0.05,0,40.79999999999997
1,decay,0.05,0,41.099999999999966
1,decay,0.05,0,41.39999999999996
1,decay,0.05,0,41.69999999999996
1,decay,0.05,0,41.99999999999996
1,decay,0.05,0,42.299999999999955
1,decay,0.05,0,42.59999999999995
1,decay,0.05,0,42.89999999999995
1,decay,0.05,0,43.199999999999946
1,decay,0.05,0,43.49999999999994
1,decay,0.05,0,43.79999999999994
1,decay,0.05,0,44.09999999999994
1,decay,0.05,0,44.399999999999935
1,decay,0.05,0,44.69999999999993
1,decay,0.05,0,44.99999999999993
1,decay,0.05,0,45.299999999999926
1,decay,0.05,0,45.59999999999992
